Date,High,Low,Open,Close,Volume,Adj Close
2019-09-17,13664.3134765625,13552.0048828125,13570.8388671875,13561.0185546875,21500923601.0,13561.0185546875
2019-09-18,13649.998046875,13061.373046875,13564.0078125,13611.212890625,26433391055.0,13611.212890625
2019-09-19,13642.73828125,13438.896484375,13611.0849609375,13504.4912109375,19542795567.0,13504.4912109375
2019-09-20,13513.0546875,13264.5087890625,13507.1533203125,13289.7216796875,17806696605.0,13289.7216796875
2019-09-21,13368.072265625,13166.4970703125,13295.5556640625,13362.6953125,17515000629.0,13362.6953125
2019-09-22,13361.0595703125,12900.7216796875,13359.4716796875,12903.61328125,20086108772.0,12903.61328125
2019-09-23,12982.0927734375,11083.9453125,12903.609375,11414.6640625,33106822323.0,11414.6640625
2019-09-24,11594.4619140625,11038.3515625,11391.9716796875,11252.607421875,28830574257.0,11252.607421875
2019-09-25,11300.740234375,10477.8955078125,11253.50390625,10774.2763671875,25556601329.0,10774.2763671875
2019-09-26,10953.7021484375,10549.0087890625,10766.490234375,10927.646484375,21729819277.0,10927.646484375
2019-09-27,10971.068359375,10758.96484375,10926.8896484375,10918.4990234375,18724441750.0,10918.4990234375
2019-09-28,10936.1875,10577.1806640625,10918.66015625,10727.6728515625,17254199244.0,10727.6728515625
2019-09-29,11010.7021484375,10370.4306640625,10727.7265625,10983.7353515625,22666364771.0,10983.7353515625
2019-09-30,11232.7763671875,10882.466796875,10991.486328125,11028.66015625,20231551854.0,11028.66015625
2019-10-01,11187.294921875,10966.9013671875,11029.8974609375,11187.294921875,17495590258.0,11187.294921875
2019-10-02,11222.22265625,10865.0654296875,11184.2724609375,11016.5166015625,18230383158.0,11016.5166015625
2019-10-03,10992.44921875,10847.6328125,11015.8525390625,10920.4306640625,17485935792.0,10920.4306640625
2019-10-04,10939.91796875,10747.6259765625,10926.033203125,10854.66015625,16246365075.0,10854.66015625
2019-10-05,10860.2255859375,10590.68359375,10852.498046875,10629.6796875,17512853671.0,10629.6796875
2019-10-06,11053.005859375,10517.30078125,10630.962890625,10969.423828125,23958954912.0,10969.423828125
2019-10-07,11102.0927734375,10906.3017578125,10971.056640625,10963.619140625,20774352983.0,10963.619140625
2019-10-08,11508.2900390625,10896.83203125,10965.0283203125,11465.6513671875,25857109340.0,11465.6513671875
2019-10-09,11461.375,11257.615234375,11451.69921875,11409.8173828125,23411905343.0,11409.8173828125
2019-10-10,11513.2216796875,10977.80859375,11408.208984375,10985.16796875,25878841690.0,10985.16796875
2019-10-11,11112.310546875,10977.7509765625,10977.1259765625,11008.404296875,19190324173.0,11008.404296875
2019-10-12,11183.4833984375,10926.8662109375,11008.8623046875,10985.474609375,18229837338.0,10985.474609375
2019-10-13,11097.1337890625,10956.83203125,10985.24609375,11076.603515625,20039664973.0,11076.603515625
2019-10-14,11106.189453125,10805.1083984375,11074.978515625,10835.0341796875,20098265692.0,10835.0341796875
2019-10-15,10849.314453125,10543.3525390625,10834.1171875,10625.7939453125,21220681260.0,10625.7939453125
2019-10-16,10686.1259765625,10510.24609375,10626.1708984375,10645.5087890625,18801997567.0,10645.5087890625
2019-10-17,10682.888671875,10372.775390625,10641.5966796875,10466.0302734375,20545063040.0,10466.0302734375
2019-10-18,10609.6630859375,10428.7119140625,10466.8134765625,10486.18359375,18111715827.0,10486.18359375
2019-10-19,10877.216796875,10440.673828125,10498.3212890625,10798.75390625,20363048654.0,10798.75390625
2019-10-20,10858.705078125,10727.4619140625,10802.7431640625,10789.3740234375,20769002647.0,10789.3740234375
2019-10-21,10863.759765625,10572.822265625,10788.9560546875,10577.720703125,22002595016.0,10577.720703125
2019-10-22,10581.1923828125,9765.765625,10575.134765625,9825.0576171875,28689217093.0,9825.0576171875
2019-10-23,9847.3408203125,9735.076171875,9818.59375,9795.86328125,21267269643.0,9795.86328125
2019-10-24,11350.6298828125,9768.4111328125,9792.2216796875,11310.35546875,37487093224.0,11310.35546875
2019-10-25,13088.8984375,11313.818359375,11319.3359375,12074.3955078125,58114334638.0,12074.3955078125
2019-10-26,12737.009765625,11904.833984375,12070.1318359375,12478.580078125,42580414022.0,12478.580078125
2019-10-28,12801.072265625,12084.3642578125,12496.0693359375,12084.3642578125,40404494748.0,12084.3642578125
2019-10-29,12458.431640625,12087.2353515625,12074.3017578125,12342.578125,37215885466.0,12342.578125
2019-10-30,12410.951171875,11961.3447265625,12335.73828125,12119.798828125,36477034148.0,12119.798828125
2019-10-31,12355.568359375,11888.84375,12115.4951171875,12113.8388671875,35004850427.0,12113.8388671875
2019-11-01,12204.4462890625,12015.4912109375,12106.4736328125,12185.2978515625,32005212224.0,12185.2978515625
2019-11-02,12338.802734375,12170.5146484375,12183.5595703125,12269.3701171875,27950901161.0,12269.3701171875
2019-11-03,12325.638671875,12012.1630859375,12269.4609375,12135.8193359375,27769027259.0,12135.8193359375
2019-11-04,12501.51953125,12089.1015625,12136.1513671875,12379.9375,34420428723.0,12379.9375
2019-11-05,12440.1748046875,12176.45703125,12380.455078125,12289.0478515625,34461335958.0,12289.0478515625
2019-11-06,12426.4794921875,12271.7587890625,12286.8603515625,12344.248046875,30506807148.0,12344.248046875
2019-11-07,12342.095703125,12123.244140625,12333.0576171875,12209.150390625,29905644572.0,12209.150390625
2019-11-08,12265.54296875,11607.837890625,12206.2607421875,11646.65625,32186525798.0,11646.65625
2019-11-09,11761.65234375,11631.1572265625,11652.7255859375,11658.166015625,23252133634.0,11658.166015625
2019-11-10,12041.4482421875,11647.734375,11656.720703125,11977.5634765625,27231229868.0,11977.5634765625
2019-11-11,12020.2265625,11516.3603515625,11979.404296875,11592.044921875,26823977218.0,11592.044921875
2019-11-12,11719.84765625,11497.013671875,11594.64453125,11669.4072265625,26884305394.0,11669.4072265625
2019-11-13,11711.201171875,11611.5537109375,11664.603515625,11673.326171875,23252863265.0,11673.326171875
2019-11-14,11695.89453125,11517.822265625,11678.1953125,11538.41796875,25287700331.0,11538.41796875
2019-11-15,11543.5244140625,11218.236328125,11535.2548828125,11227.6875,28818713783.0,11227.6875
2019-11-16,11359.9091796875,11203.865234375,11226.595703125,11305.3876953125,21809379635.0,11305.3876953125
2019-11-17,11541.18359375,11241.24609375,11303.6826171875,11343.078125,24686455976.0,11343.078125
2019-11-18,11428.767578125,10927.271484375,11337.7939453125,10974.439453125,28500956415.0,10974.439453125
2019-11-19,11160.203125,10750.6767578125,10968.9560546875,10891.607421875,27983226437.0,10891.607421875
2019-11-20,10959.0302734375,10657.3857421875,10888.2451171875,10679.6787109375,27625344409.0,10679.6787109375
2019-11-21,10769.91015625,10089.0419921875,10674.857421875,10149.2890625,29898082170.0,10149.2890625
2019-11-22,10236.3642578125,9224.779296875,10150.376953125,9703.353515625,45537143646.0,9703.353515625
2019-11-23,9900.1767578125,9513.28125,9702.8046875,9841.0302734375,27947436841.0,9841.0302734375
2019-11-24,9851.830078125,9347.45703125,9842.1435546875,9372.228515625,40470095656.0,9372.228515625
2019-11-25,9737.2392578125,8802.486328125,9361.669921875,9506.14453125,56782028886.0,9506.14453125
2019-11-26,9714.0703125,9419.92578125,9504.84765625,9578.9013671875,28039213056.0,9578.9013671875
2019-11-27,10123.486328125,9265.853515625,9582.2314453125,10006.5302734375,31874871041.0,10006.5302734375
2019-11-28,10264.376953125,9897.9560546875,10013.3818359375,9909.8857421875,25295697528.0,9909.8857421875
2019-11-29,10334.49609375,9908.9287109375,9914.693359375,10308.0185546875,26177234923.0,10308.0185546875
2019-11-30,10407.4404296875,9982.1005859375,10311.7548828125,10053.5283203125,22788484824.0,10053.5283203125
2019-12-01,10058.990234375,9686.642578125,10056.166015625,9863.2685546875,24870704584.0,9863.2685546875
2019-12-02,9946.3681640625,9625.123046875,9862.9287109375,9743.00390625,22730217465.0,9743.00390625
2019-12-03,9861.5185546875,9609.623046875,9745.6474609375,9730.3037109375,19669557959.0,9730.3037109375
2019-12-04,9947.728515625,9461.064453125,9730.2763671875,9568.0810546875,28583041219.0,9568.0810546875
2019-12-05,10203.4970703125,9530.4765625,9569.673828125,9814.6123046875,24793899061.0,9814.6123046875
2019-12-06,10004.185546875,9798.9560546875,9817.5830078125,10004.185546875,23999008969.0,10004.185546875
2019-12-07,10061.1259765625,9975.9697265625,10004.5419921875,10016.435546875,20484955057.0,10016.435546875
2019-12-08,10117.1513671875,9907.091796875,10009.94140625,10024.0439453125,20420747899.0,10024.0439453125
2019-12-09,10085.02734375,9751.283203125,10020.6640625,9797.5029296875,23659446433.0,9797.5029296875
2019-12-10,9825.3232421875,9589.7763671875,9792.5185546875,9632.2275390625,24151680335.0,9632.2275390625
2019-12-11,9648.404296875,9478.9560546875,9631.0068359375,9507.8056640625,21539155405.0,9507.8056640625
2019-12-12,9557.6943359375,9423.669921875,9506.8984375,9526.7783203125,24894485785.0,9526.7783203125
2019-12-13,9605.0361328125,9517.54296875,9528.7880859375,9573.5927734375,22553225491.0,9573.5927734375
2019-12-14,9625.15234375,9346.4560546875,9572.5634765625,9382.6259765625,22568097192.0,9382.6259765625
2019-12-15,9467.4658203125,9129.03515625,9382.0537109375,9429.5302734375,22255929604.0,9429.5302734375
2019-12-16,9439.9111328125,9087.80078125,9431.3251953125,9125.708984375,26608136898.0,9125.708984375
2019-12-17,9164.478515625,8669.5439453125,9124.17578125,8738.685546875,29429983617.0,8738.685546875
2019-12-18,9606.6298828125,8577.1962890625,8748.138671875,9543.439453125,41753217585.0,9543.439453125
2019-12-19,9642.0478515625,9241.4619140625,9544.4736328125,9453.373046875,33998498066.0,9453.373046875
2019-12-20,9542.7158203125,9316.8359375,9460.9755859375,9491.2998046875,29758940199.0,9491.2998046875
2019-12-21,9496.7724609375,9351.5048828125,9493.63671875,9454.611328125,25391274526.0,9454.611328125
2019-12-22,9883.5068359375,9422.2607421875,9454.6513671875,9875.03515625,30413588979.0,9875.03515625
2019-12-23,10066.263671875,9632.404296875,9871.50390625,9671.1064453125,36592956599.0,9671.1064453125
2019-12-24,9923.408203125,9572.87890625,9669.482421875,9642.6767578125,30276517570.0,9642.6767578125
2019-12-25,9680.29296875,9501.3076171875,9646.921875,9572.5771484375,28367781280.0,9572.5771484375
2019-12-26,9687.3427734375,9440.9521484375,9572.1083984375,9491.5380859375,29877712308.0,9491.5380859375
2019-12-27,9632.52734375,9405.4404296875,9490.455078125,9536.4560546875,29795977013.0,9536.4560546875
2019-12-28,9680.53515625,9533.822265625,9535.0732421875,9574.4921875,27953778304.0,9574.4921875
2019-12-29,9824.224609375,9518.1689453125,9574.0439453125,9704.8583984375,29346388861.0,9704.8583984375
2019-12-30,9737.349609375,9504.17578125,9701.7470703125,9525.9716796875,29877756181.0,9525.9716796875
2019-12-31,9540.64453125,9325.37109375,9527.857421875,9356.3544921875,27532089111.0,9356.3544921875
2020-01-01,9416.8388671875,9313.7880859375,9358.0361328125,9346.5390625,24100071167.0,9346.5390625
2020-01-02,9364.5869140625,9005.06640625,9349.6240234375,9070.2490234375,27010361265.0,9070.2490234375
